,1-10959,1-10960,1-4365,1-4029,MLG05,1-4780,1-0278,1-4562,1-4649,1-8592,1-1350,MLG16,1-4163,1-3295,1-1317,1-1258,1-2423,1-6098,1-4314,MLG02,1-2151,MLG06,1-0303,MLG17,MLG11,1-4319,1-5091,1-0334,1-2854,MLG07,MLG04,MLG29,1-7621,1-2382,1-1131,MLG03,1-5893,MLG10,1-0157,MLG19,MLG31,MLG30,1-1165,1-2545,1-5272,1-5960,1-4619,1-10615,1-10728,1-4542,MLG22,MLG32,MLG56,1-0053,1-2912,1-0292,MLG21,MLG52,1-1137,MLG24,MLG08,MLG13,MLG48,MLG09,MLG12,1-5344,MLG27,1-0094,MLG51,MLG42,1-12754,MLG26,1-1191,1-15913,1-6181,1-1224,1-5993,1-4399,1-3447,1-0129,MLG18,1-1833,1-16017,MLG15,1-5899,1-5184,1-11160,1-10616,1-5971,MLG75,1-15351,1-5900,1-0188,1-1307,MLG23,MLG58,1-1462,MLG59,1-10660,1-0272,MLG33,MLG36,MLG37,MLG39,MLG41,1-5022,1-5775,1-6079,1-1607,1-5811,MLG28,MLG34,MLG35,1-7866,MLG45,1-0296,MLG57,1-2701,1-2879,1-15424,1-4636,1-1204,1-7140,MLG40,MLG44,MLG43,MLG46,1-7863,1-6006,1-3103,MLG25,MLG62,1-5754,1-5972,1-6092,1-5151,1-8695,1-9234,1-5620,1-7987,1-5275,MLG54,1-6580,1-13160,1-9227,1-5214,1-4020,1-10492,1-4881,MLG14,1-6915,1-7024,1-1570,MLG50,1-5911,1-8067,MLG53,1-5953,1-5616,1-5757,1-3489,MLG49,1-7807,1-7176,MLG60,MLG69,MLG68,1-2294,1-4013,1-3033,10049,1-3523,1-7981,1-8086,1-10468,1-5626,MLG38,1-3929,1-3432,1-15114,1-7682,1-9256,MLG64,1-2974,1-2573,MLG79,1-5368,MLG20,1-0205,1-10301,1-15920,10026,MLG63,1-7004,1-2270,MLG78,1-2966,1-5283,1-13951,1-2922
MLG07,0,0,0,0,0,0,0,0,0,0,2,29,2,7,1,35,1,1,0,1,5,1,0,4,3,0,0,3,5,0,0,108,0,0,0,46,0,0,1,2,7,0,0,7,20,10,2,11,10,0,10,0,1,1,4,6,6,0,2,0,13,17,2,10,12,0,0,0,0,0,0,0,2,0,2,0,1,0,3,4,0,0,0,5,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,1,4,3,0,0,0,3,0,0,1,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,9,2,0,0,0,5,2,0,0,2,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,2,5,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,6
MLG04,0,0,0,0,2,0,0,0,2,0,2,27,7,21,3,5,0,1,0,2,6,0,7,30,0,2,0,4,3,0,0,2,13,10,0,0,5,0,1,0,0,3,3,0,1,1,1,1,0,3,2,2,2,2,1,0,4,0,1,0,0,8,0,0,0,3,2,3,2,1,0,0,13,0,0,0,1,0,0,0,0,0,2,1,6,0,1,0,1,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,6,1,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0
MLG29,0,0,0,0,0,0,0,0,0,0,0,17,0,1,1,35,0,0,0,0,4,4,6,0,9,0,0,0,6,108,2,0,0,1,0,52,0,30,0,7,13,2,0,0,25,6,2,8,9,0,0,10,0,0,2,7,2,0,4,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,3,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,0,13,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,2,0,1,0,0,0,0,0,1,0,0,0,5,3,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0
1-7621,0,0,0,0,6,0,0,0,0,0,1,0,23,0,2,0,0,1,0,1,4,9,0,89,2,0,0,4,4,0,13,0,0,15,20,0,7,0,1,3,0,2,1,0,0,0,1,2,1,1,0,0,6,0,2,0,0,1,0,0,0,0,0,2,0,3,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0
1-2382,0,0,0,0,7,0,0,0,1,0,13,14,16,6,3,4,0,14,0,1,0,1,7,58,0,2,0,4,0,0,10,1,15,0,23,0,13,3,0,0,0,5,4,0,0,0,2,0,0,3,6,2,3,0,0,0,0,1,0,1,0,0,0,11,0,2,0,2,2,0,0,1,0,0,2,0,0,3,0,0,1,0,0,5,0,0,0,0,0,0,0,0,3,3,0,0,12,1,0,0,2,1,0,0,3,4,0,0,0,1,0,0,0,1,0,0,4,1,7,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,7,3,0,0,1,0,0,2,0,0,0,1,0,2,2,0,4,0,0,0,0,0,0,4,4,1,6,1,0,3,2,0,0,1,0,1,0,1,0,2,2,0,0,0,0,0,1,0,1,4,0,0,0,3,0,0,0,0,0,4,0
1-1131,0,0,0,0,2,0,0,0,0,0,12,9,4,13,5,4,0,13,0,0,1,4,0,56,7,2,0,19,2,0,0,0,20,23,0,0,8,1,1,0,4,10,9,8,0,0,6,0,4,2,9,3,5,3,1,0,0,6,0,0,4,0,0,16,0,1,0,4,2,5,0,4,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,3,1,3,0,11,2,1,0,7,0,0,0,14,7,0,0,0,1,0,1,0,0,0,0,2,20,2,2,0,0,0,0,7,0,0,0,0,3,0,0,2,0,1,0,8,0,1,7,0,2,3,4,0,0,4,0,0,0,0,0,5,1,0,0,0,1,0,0,0,1,4,1,0,7,0,0,6,0,0,0,0,1,1,0,4,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,4,0,0,0,0,3,1,0
MLG03,0,0,0,0,7,0,0,0,8,0,1,15,3,6,3,4,0,0,0,5,4,16,0,1,14,0,0,5,5,46,0,52,0,0,0,0,0,27,1,0,8,0,1,5,0,3,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,3,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1-5893,0,0,0,0,5,0,0,0,0,0,1,4,14,0,4,1,0,42,0,0,0,3,1,20,0,15,0,0,0,0,5,0,7,13,8,0,0,0,2,0,0,23,14,0,0,0,1,0,1,0,0,0,7,2,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,6,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,6,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,4,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,13,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
MLG10,0,0,0,0,0,0,1,0,2,0,2,15,7,22,0,26,0,5,0,0,8,0,2,2,27,2,2,4,5,0,0,30,0,3,1,27,0,0,0,2,37,0,0,7,21,7,7,15,7,2,0,6,0,2,3,14,0,0,4,0,0,1,0,0,5,0,0,0,2,1,0,0,19,1,0,4,2,3,0,0,1,10,0,4,0,3,0,7,1,0,0,3,1,0,0,0,0,0,0,18,1,1,0,0,4,0,1,0,1,0,0,0,1,0,0,3,0,0,2,0,2,0,0,0,1,0,0,0,3,1,0,0,2,3,0,0,5,0,2,0,0,0,2,0,0,0,0,10,0,0,1,1,2,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,3,1,7,0,0,0,0,6,0,0,0,0,9
1-0157,0,0,0,0,14,0,0,0,8,2,8,0,0,31,4,14,0,4,0,0,2,8,0,0,0,2,5,2,0,1,1,0,1,0,1,1,2,0,0,2,0,0,2,0,0,1,11,3,1,4,3,1,0,6,0,0,0,1,2,1,0,0,1,1,3,0,0,1,2,0,0,0,1,3,0,2,4,1,3,0,6,0,0,1,2,0,2,2,1,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,5,2,0,7,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,2,1,0,0,3,2,3,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,3,0,0,0
MLG19,0,0,0,0,22,0,0,0,3,0,2,15,0,18,5,21,0,0,0,1,2,10,4,5,3,0,5,4,1,2,0,7,3,0,0,0,0,2,2,0,0,0,0,0,0,0,3,1,1,3,0,0,0,7,0,0,0,0,3,2,0,0,0,0,1,2,0,4,0,2,4,0,1,2,1,0,2,0,4,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,8,0,0,0,0,0,2,0,0,0,0,2,3,0,0,1,1,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,1,14,0,4,0,0,0,0,0,0,5,0,0,0
MLG31,0,0,0,0,0,0,0,0,0,0,3,8,8,10,0,19,0,1,0,0,2,5,0,6,43,0,0,1,0,7,0,13,0,0,4,8,0,37,0,0,0,16,0,11,12,4,1,9,2,0,1,0,0,0,0,7,0,1,0,6,0,1,0,4,0,0,10,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,10,1,0,0,0,0,0,1,0,0,1,19,4,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,4,0,0,0,0,4
MLG30,0,0,0,0,1,0,0,3,0,1,0,0,3,9,2,1,0,20,0,0,0,5,7,5,0,2,0,2,0,0,3,2,2,5,10,0,23,0,0,0,16,0,4,0,0,0,0,1,0,6,0,1,8,0,0,0,1,0,2,8,0,0,0,0,0,0,0,1,0,2,1,0,1,4,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,6,1,6,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,4,0,0,0,0,0,1,0,6,2,0,1,0,4,0,0,0,1,1,0,0,2,2,0,0,0,0,0,0,2,0,0,1,3,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0
1-1165,0,0,0,0,0,0,0,1,1,1,17,6,18,9,6,0,0,0,0,0,1,3,1,15,0,12,3,1,1,0,3,0,1,4,9,1,14,0,2,0,0,4,0,0,0,1,0,1,0,4,5,0,2,3,2,0,0,0,1,0,1,0,1,0,0,0,1,0,0,2,4,3,0,4,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,3,0,0,0,4,2,0,2,2,1,4,0,1,2,0,0,1,3,0,0,1,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,3,0,0,1,2,1,0,0,4,0,0,7,0,0,8,0,0,0,0,0,1,0,2,3,0,0,0,1,0,0,0,6,1,0,0,0,4,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1-2545,0,0,1,0,0,0,2,0,0,0,2,19,0,8,1,5,5,4,0,0,2,0,0,16,17,1,0,0,0,7,0,0,0,0,8,5,0,7,0,0,11,0,0,0,1,3,3,3,1,0,6,2,8,0,0,1,8,8,5,0,4,2,1,0,0,0,0,0,1,0,0,0,3,0,3,0,0,1,0,0,0,5,0,1,0,0,4,1,0,2,0,0,0,0,3,3,1,0,0,3,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,2,5,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,2,0,4,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,1,0,4,0,0,0,3
1-5272,0,0,0,0,9,0,0,0,0,0,1,2,2,0,0,21,0,0,0,0,2,0,0,0,16,0,0,0,1,20,1,25,0,0,0,0,0,21,0,0,12,0,0,1,0,2,0,17,0,1,4,13,1,0,0,17,4,0,0,0,0,2,1,0,1,2,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,2,0,0,0,0
1-5960,0,0,0,0,6,0,0,0,3,1,2,6,11,9,9,17,1,1,0,1,5,4,1,2,7,1,0,0,0,10,1,6,0,0,0,3,0,7,1,0,4,0,1,3,2,0,4,5,5,4,0,3,0,2,1,2,1,2,0,0,1,0,0,2,0,0,0,0,0,2,3,0,0,2,0,0,2,1,1,1,2,0,0,0,0,0,0,2,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0
1-4619,0,0,0,0,3,0,1,0,5,0,0,1,1,26,4,14,0,0,0,1,1,4,0,4,8,1,9,1,1,2,1,2,1,2,6,2,1,7,11,3,1,0,0,3,0,4,0,4,1,2,1,0,3,1,3,2,1,2,4,2,0,0,1,5,0,0,1,0,4,0,0,0,4,4,0,5,0,0,2,5,1,1,1,3,4,0,3,5,1,1,0,0,0,2,1,2,0,2,1,0,2,1,0,0,0,0,3,0,1,0,0,0,0,2,0,2,3,0,0,1,0,0,1,0,0,3,5,0,0,0,0,0,1,0,0,1,2,0,0,0,1,0,0,2,0,0,0,1,0,1,1,0,2,5,1,0,1,1,0,2,0,0,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1
1-10615,0,0,0,0,1,0,0,0,0,0,1,1,4,9,0,24,1,0,0,0,0,12,2,2,22,0,0,0,1,11,1,8,2,0,0,0,0,15,3,1,9,1,1,3,17,5,4,0,0,0,3,1,0,0,0,1,0,2,0,1,0,0,0,5,0,1,0,0,0,1,0,0,0,0,0,0,2,0,1,0,1,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,1
1-10728,0,0,0,0,7,0,0,0,1,0,1,11,4,12,0,1,0,2,0,1,2,7,0,2,10,0,1,4,0,10,0,9,1,0,4,0,1,7,1,1,2,0,0,1,0,5,1,0,0,2,2,1,1,1,0,0,0,1,1,1,0,0,0,3,0,1,3,0,0,1,0,2,12,1,0,0,0,0,1,0,1,0,0,0,2,1,0,1,0,0,2,0,0,2,0,0,0,0,0,0,2,1,3,2,2,0,0,0,1,0,0,1,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1-4542,0,0,0,0,7,0,4,0,9,0,2,0,17,10,5,7,0,14,0,0,0,8,5,11,6,3,1,5,1,0,3,0,1,3,2,0,0,2,4,3,0,6,4,0,1,4,2,0,2,0,2,1,4,1,1,0,0,0,0,1,0,0,0,2,0,1,18,10,1,3,0,6,0,2,0,3,2,0,0,1,0,1,7,0,2,2,0,1,1,0,9,3,3,3,0,0,0,0,0,0,7,2,2,1,0,0,4,0,5,1,1,6,0,0,3,0,1,0,3,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,0,0,0,0,2,1,2,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,7,0
MLG22,0,0,0,0,11,0,0,0,0,0,0,9,8,9,4,23,4,6,0,0,0,4,1,4,2,1,0,2,1,10,2,0,0,6,9,0,0,0,3,0,1,0,5,6,4,0,1,3,2,2,0,0,0,7,1,5,4,1,1,1,16,0,0,0,0,1,0,2,0,0,0,0,0,0,4,0,2,0,0,0,2,1,0,2,0,0,0,0,1,0,0,0,0,1,0,0,6,0,0,2,0,0,2,2,1,1,0,0,2,0,0,1,4,0,1,2,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,5,9,0,0,0,0,0,1,0,0,7,0,0,0,0,0,2,0,0,0,0,3,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,0,0,9,3,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0
MLG32,0,0,0,0,0,2,0,1,0,0,1,0,12,4,1,23,5,2,0,0,1,0,0,0,21,1,0,0,1,0,2,10,0,2,3,2,0,6,1,0,0,1,0,2,13,3,0,1,1,1,0,0,0,4,0,2,0,0,1,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,1,1,26,1,0,4,0,0,0,0,0,2,0,0,49,0,0,0,0,0,3,0,0,1,5,0,0,0,0,2,1,0,0,0,0,2,4,0,0,0,0,0,0,0,0,8,1,0,1,1,0,0,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,2,0,0,0,1,0,3,0,0,0,0,0,2,0,1,0,0,7,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,1,5,0,3,0,1,0,5,0,1,0,1
MLG56,0,0,0,0,3,0,0,0,0,0,2,5,0,2,3,28,0,12,0,0,7,1,2,32,1,2,0,6,0,1,2,0,6,3,5,0,7,0,0,0,0,8,2,8,1,0,3,0,1,4,0,0,0,0,2,2,0,0,1,0,11,14,55,3,11,0,0,1,12,1,1,0,3,1,2,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,4,5,0,0,0,0,0,1,0,5,0,0,0,0,0,3,0,5,7,0,8,0,0,2,2,0,0,0,0,0,0,0,0,22,0,0,3,0,0,0,0,1,0,0,0,0,3,0,1,0,5,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,10,0,9,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,5,0,0,0,0,2,0,0,0,4,2,5,0,1,1,0,3
1-0053,0,0,0,0,2,0,0,0,0,0,6,0,8,28,3,14,0,6,0,0,0,2,0,2,2,3,13,1,1,1,2,0,0,0,3,0,2,2,6,7,0,0,3,0,0,2,1,0,1,1,7,4,0,0,0,5,0,5,4,0,0,2,1,1,0,5,0,0,3,0,0,2,0,3,0,3,1,3,3,1,1,1,0,3,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,1,0,1,0,0,0,2,0,1,3,0,3,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,2,0,1,0,0,0,0,2,0,0,1,2,3,0,0,0,0,1,0,0,1,1,0,2,1,1,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,4,0,1,1,0,0,0,0,0,0,2,0,0,0,0,1,1,1,0,0,0,0,0,0
1-2912,0,0,0,0,17,0,0,0,0,0,0,37,9,9,3,3,0,2,0,2,0,7,0,4,1,1,0,5,0,4,1,2,2,0,1,1,1,3,0,0,0,0,2,0,0,1,3,0,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,5,0,3,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0
1-0292,0,0,0,0,1,0,0,0,0,0,0,2,0,6,0,21,0,3,0,0,0,0,0,4,13,1,1,1,0,6,0,7,0,0,0,0,0,14,0,0,7,0,0,1,17,2,2,1,0,0,5,2,2,5,0,0,4,3,0,0,0,1,3,0,2,2,0,0,5,0,0,0,1,0,0,0,0,4,0,0,0,2,0,0,0,0,2,4,0,1,0,1,0,0,2,0,0,0,2,12,0,0,0,0,0,0,0,3,0,0,0,2,0,2,0,1,3,0,0,0,5,0,0,0,0,0,0,1,2,2,0,3,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,3,0,0,5,1,3,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0
MLG21,0,0,0,0,16,0,0,2,0,0,6,18,2,1,0,23,1,3,0,0,2,0,1,1,0,1,1,0,0,6,4,2,0,0,0,0,1,0,0,0,0,1,0,8,4,1,1,0,0,0,4,0,0,0,0,4,0,0,0,2,5,33,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,7,1,0,2,0,0,3,0,0,0,0,1,0,0,5,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,5,0,2,0,0,0
MLG52,0,0,0,0,4,0,0,0,4,0,2,4,8,8,2,24,7,3,0,0,2,0,4,1,0,2,1,4,0,0,0,0,1,1,6,0,0,0,1,0,1,0,0,8,0,2,2,2,1,0,1,0,0,5,1,3,0,0,2,0,1,1,0,2,2,0,0,0,1,0,0,3,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,11,0,10,6,0,1,1,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,2,7,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,10,0,1,0,0,2,0,1,0,1,0,5,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,1,0,1
1-1137,0,0,0,0,0,0,0,0,2,0,1,1,5,10,3,9,0,4,1,2,0,1,0,4,9,1,10,2,0,2,1,4,0,0,0,0,0,4,2,3,0,2,1,5,0,0,4,0,1,0,1,1,1,4,0,0,0,2,0,0,0,0,0,0,3,0,3,3,0,3,0,1,0,5,0,0,1,0,5,0,2,2,0,0,7,1,1,4,2,0,2,1,3,2,1,1,0,0,0,0,0,0,0,1,0,0,1,1,6,0,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,1,2,1,3,0,0,0,0,2,0,2,0,0,2,0,0,2,1,0,0,0,1,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
MLG24,0,0,0,0,1,2,1,0,6,0,1,1,8,5,18,3,7,0,0,0,0,0,0,12,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,2,6,8,0,0,0,0,2,1,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,0,1,0,0,1,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,2,0,0,0,1,2,0,0,0,0,0,0,0,0,2,8,0,0,0,0,7,0,0,0,0,1,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,3,0,0,0,0,0,2,0,4,0,0,0,0,3,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0
MLG08,0,0,0,0,0,0,0,0,1,0,1,0,7,0,0,3,1,1,0,2,4,14,2,0,0,0,0,16,0,13,0,0,0,0,4,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,16,0,11,0,0,0,5,1,0,0,0,9,10,7,9,0,1,3,9,0,0,0,1,0,3,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,2,1,0,2,1,0,0,0,0,0,0,0,7,0,0,0,0,1,0,9,1,3,0,0,0,0,0,0,0,12,0,16,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,22,0,0,0,0,1,0,0,0,2,0,0,1,0,29,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
